url,nama,perguruan_tinggi,program_studi,bidang,sinta_score_overall,sinta_score_3yr,affil_score_overall,affil_score_3yr
https://sinta.kemdiktisaintek.go.id/authors/profile/6903547,SUCI IMANI PUTRI,Akademi Teknik Elektromedik Andakara,D3 - Teknik Elektromedik,artificial intelligence,228,2,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6033457,KARMILA MACHMUD,Universitas Negeri Gorontalo,S3 - Linguistik Terapan,"Instructional Technology, English as a Foreign Language, Artificial Intelligence",645,159,645,159
https://sinta.kemdiktisaintek.go.id/authors/profile/6847367,JOSSEANO AMAKORA KOLI PARERA,Politeknik Negeri Ambon,D4 - Teknik Informatika,"Pemograman web PHP, mobile android, visual net, sistem pakar, sistem pendukung keputusan",8,2,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6972359,USMAN,Politeknik Bombana,D4 - Bisnis Digital,"Ilmu Komputer, IoT, Artificial Intelligence, Manajemen",6,1,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6693507,SEVI ANDRIASARI,Institut Teknologi dan Bisnis Diniyyah Lampung,S1 - Rekayasa Perangkat Lunak,"AI, Datamining, Software Enginner",172,119,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6949089,SOFYAN ISLAMY,Universitas Nggusuwaru,Unknown,"Electronics Engineering, Internet of Things, Artificial Intelligence, Electronics Design",2,2,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6003361,SHINTA PUSPASARI,Universitas Indo Global Mandiri,S1 - Teknik Informatika,"Artificial Intelligence, Software Engineering, Information Retrieval",1.453,557,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6195697,I PUTU AGUS EKA DARMA UDAYANA,Institut Bisnis dan Teknologi Indonesia,Unknown,"Artificial Intelligence, Elektroensefalogram (EEG), Network Security",1.059,657,1.127,687
https://sinta.kemdiktisaintek.go.id/authors/profile/6129854,PURNAWANSYAH,Universitas Muslim Indonesia,S1 - Sistem Informasi,"Artificial Intellegent, Machine Learning, Data Mining",2.579,684,3.005,866
https://sinta.kemdiktisaintek.go.id/authors/profile/6944617,OSPHANIE MENTARI PRIMADIANTI,Universitas Islam Nusantara,S1 - Teknik Elektro,"Artificial Intelligence, Bioinformatic",11,3,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6850750,ANISA NURUL WILDA,Universitas Hafshawaty Zainul Hasan,S1 - Bisnis Digital,Sistem Pakar,14,8,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6783791,NIA SAPUTRI UTAMI,Institut Teknologi Sumatera,S1 - Teknik Elektro,"Control System Engineering, Control System Engineering, Robotics, Electronics Engineering, Artificial Intelligence, Robotics, Electronics Engineering, Artificial Intelligence",495,347,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6794316,FRANKY GERALD CLIFORD MANOPPO,Politeknik Negeri Manado,D4 - Teknik Informatika,"Artificial Intelligence, Data Science, IoT",64,48,64,48
https://sinta.kemdiktisaintek.go.id/authors/profile/5974673,N TRI S. SAPTADI,Universitas Atma Jaya Makassar,S1 - Teknik Informatika,"Information Technology, Expert Systems, Artificial Intelligence, IT Governance",4.104,624,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6793406,KASLIONO,Universitas Tanjungpura,S1 - Sistem Komputer,"AI, Machine Learning, Mathematical Modelling, Prediction Modelling, Internet of Things",168,106,168,106
https://sinta.kemdiktisaintek.go.id/authors/profile/6029490,CAHYANA,Universitas Telkom,D3 - Rekayasa Perangkat Lunak Aplikasi,Artificial Intelligence,901,498,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6844497,TYANITA PUTI MARINDAH WARDHANI,Universitas Hasanuddin,S1 - Teknik Informatika,"Social Media Analytics, Data Analytics, Artificial Intelligence, Disaster Informatics",144,82,102,42
https://sinta.kemdiktisaintek.go.id/authors/profile/6698416,JAN ALIF KRESHNA,Politeknik Caltex Riau,D4 - Teknik Informatika,"Artificial Intelligence, Software Engineering",209,136,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6093460,DEDY KURNIA SETIAWAN,Universitas Jember,S1 - Teknik Elektro,"Power Electronic, Renewable Energy, Power System, Artificial Intellegent",681,102,681,102
https://sinta.kemdiktisaintek.go.id/authors/profile/6768743,MUNIF,Universitas Islam Lamongan,S1 - Teknik Informatika,"Technology, data mining, big data, artificial intelligent, computer vision",71,44,32,24
https://sinta.kemdiktisaintek.go.id/authors/profile/6736477,DEWI YANTI,Universitas Muhammadiyah Pontianak,S1 - Sistem Informasi,"Engineering and Computer Science, Artificial Intelligence, Information System, Database Management System, etc",185,159,9,4
https://sinta.kemdiktisaintek.go.id/authors/profile/6830201,JAYA TATA HARDINATA,Universitas HKBP Nommensen Pematangsiantar,S1 - Ilmu Komputer,Artificial Intelligence,580,213,0,0
