Komentar
Bro benar² memberi tutorial di waktu yang tepat
"Ini ilmu netral yak.. soalnya masih banyak yang gblk kalau berususan sama gas air mata malah kucek mata dan sengaja batuk2 tak terkendali yang malah bikin reaksi iritan semakin parah
Juga dipihak lain yang seenak jidat ngelempar gas ini disaat yang ga tepat ,saat angin alam lagi kencang yang bikin pengaruhnya semakin lebar"
Bro melakukan perjuangan lewat ilmu pengetahuan menyala abangku 
"saya respek sekali sama mas fajrul ini, perlawanannya dengan ilmu pengetahuan, keren bang fajrul "
Kasih tau rekan2 kita yg sedang berjuang menuntut keadilan rakyat🫡🫡
"Bahkan tanpa gas air mata, masyarakat sudah banyak yang mengeluarkan air mata"
"satu lagi, gas airmata itu kadang ditembakin di jalanan tempat orang tawuran, dan efenya kadang masih ada ketika tawuran sudah bubar. Efek ini bikin pemotor yang open kaca helm auto merem, bahaya banget karena perihnya minta ampun"
"di perang dilarang, tp malah buat lawan rakyat sipil"
Turut berdukacita atas meninggalnya saudara Affan Kurniawan.
ini yang namanya melawan dengan keahlian masing2
"Tips nya bagus nih bang, semoga saudara kita yang sedang memperjuangkan hak nya di beri perlindungan"
"Tutorial yang sangat berguna disaat waktu yang tepat. Aku sampe berpikir isi dari gas air mata, dan cara penganan lain selain menggunakan air dan odol dimata."
"Pas di Kanjuruhan itu ada saudara ku yang ikut nonton, katanya sih kericuhan di sebabkan oleh salah satu penonton yang turun ke lapangan , dan akibatnya memicu salah paham, habis itu kericuhan pun terjadi , untung aja saudaraku ini selamat karena keluar duluan dari sana , walaupun terkena sedikit gas air mata"
cara matiin gas air mata 7:20 sebelum menyebar
"pertama kali kena gas air mata pada saat demo di Semarang, padahal gak ikut demo dan liat dari jauh, udah kerasa mata perih banget kayak mata kena shampoo, gw sadar kalau gas air mata itu sangat berbahaya kalau kena masyarakat yg lagi berkumpul"
"Tentang demonstrasi, rakyat sini bisa belajar ke warga Hong Kong."
Viralkan
"Kacamata renang bisa melindungi mata 5-10 menit setelah itu uap keringat terjebak di dalamnya,  pembersihan berkala harus di lakukan sambil merem . Dan masker bisa melindungi nafas kita, hal itu sering saya lakukan di kebun ketika penyemprotan pestisida dengan mesin dorsemer."
right person at the right time
"ada negara yg instansi polisinya pakai gas air mata expired bang, gokil banget"
"9:59 bahkan gas air mata pun tak luput kena korupsi, emang aneh ni negeri "
"1. Medical googles, atau lab/safety google yg anti dust dan anti fog sangat membantu mengurangi efeknya di mata. Relatif murah dan bisa dipakai berkali2.
2. Daripada masker biasa, ternyata lebih efektif pakai masker respirator N95 (asal dipakai dengan benar). Cuman gak nyaman karena rapet banget."
"solusi nya : tlg pendemo diingatkan pakai masker, kc mata renang, helm, & jas hjn agr g bhy kan mata & kulit ( spt terjadi di GOR Kanjuruhan Jatim), wudlu & sholat hajat sblm brkt demo, mhn pertolongan & lindungan & ridlo Allah SWT, Insya Allah slamat & sukses perjuangan mulia nya ( demi tegaknya kbenaran, keadilan, rakyat yg sjahtera, negara yg demokrasi ), bw bkal  min. 2 btl minuman mineral ( agr g dehidrasi ), roti, apel, jeruk manis ( u/ jaga stamina ), permen ( agr lambung g s4 ksg & isi angin )"
"Mungkin nanti ada contoh kasus yang tak terkontrol penggunaan gas air mata,  penjelasannya kaya video sebelum-sebelumnya dari awal tragedinya sampai penyelesaian akhirnya"
