url,nama,perguruan_tinggi,program_studi,bidang,sinta_score_overall,sinta_score_3yr,affil_score_overall,affil_score_3yr
https://sinta.kemdiktisaintek.go.id/authors/profile/5974337,ZETRA HAINUL PUTRA,Universitas Riau,S2 - Pendidikan Dasar,"Mathematics Education, Didactics of Mathematics, Pendidikan Guru Sekolah Dasar, Pendidikan Matematika, Teacher Education",4.280,1.537,4.279,1.537
https://sinta.kemdiktisaintek.go.id/authors/profile/5982359,MIFTAH FARIZ PRIMA PUTRA,Universitas Cenderawasih,S1 - Ilmu Keolahragaan,Ilmu keolahragaan,2.268,964,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/5975784,WAHYU WIDOWATI,Universitas Kristen Maranatha,S1 - Kedokteran,Biomolecular,7.115,941,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/28760,LEVY OLIVIA NUR,Universitas Telkom,S1 - Teknik Telekomunikasi,"Microwave absorbent material, metamaterial, electromagnetic wave propagation",2.930,1.034,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6025380,I MADE JONI,Universitas Padjadjaran,S1 - Fisika,Instrumentation and Nanotechnology,6.249,966,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6028310,IRFAN DARMAWAN,Universitas Telkom,S1 - Sistem Informasi,"Information System Technology (Open Data, Data Analytics), Embedded System, IoT",3.299,985,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6706004,TAUFIK MUHAMMAD FAKIH,Universitas Islam Bandung,S1 - Farmasi,Farmakokimia,3.528,1.073,3.531,1.073
https://sinta.kemdiktisaintek.go.id/authors/profile/5975362,YUSUF WIBISONO,Universitas Brawijaya,S1 - Teknik Bioproses,"Membrane Processes, Bioseparation Engineering, Biomaterial, Water Treatment",4.309,1.002,4.309,1.002
https://sinta.kemdiktisaintek.go.id/authors/profile/6680677,ANAK AGUNG NGURAH PERWIRA REDI,Universitas Sampoerna,S1 - Teknik Industri,"Optimization Algorithm, VRP, Supply Chain Analytics, Human Factors & Ergonomics, Project Management",3.209,963,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/51667,SUMARI,Universitas Negeri Malang,S1 - Kimia,"Material chemistry, Catalyst, Renewable Energy",3.580,1.304,3.580,1.304
https://sinta.kemdiktisaintek.go.id/authors/profile/5975831,ANWAR MALLONGI,Universitas Hasanuddin,S3 - Ilmu Kesehatan Masyarakat,"Health and Environmental Risks Assessment, Environmental and Health Modeling",7.907,1.416,5.106,737
https://sinta.kemdiktisaintek.go.id/authors/profile/6145946,BUDI UTOMO,Universitas Airlangga,S2 - Ilmu Kesehatan Reproduksi,"Epidemiologi, Biologi molekuler, Medicine",5.273,1.096,5.273,1.096
https://sinta.kemdiktisaintek.go.id/authors/profile/6675409,MUHARMAN LUBIS,Universitas Telkom,S2 - Sistem Informasi,"IS Org. Strategy, IT & Data Governance, Cyber Resilience & Ass., Privacy Protection, UI/UX Design",14.851,2.063,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6100285,HAIRANI,Universitas Bumigora,S1 - Ilmu Komputer,"data mining dan Imbalance, Machine Learning and Deep Learning, Data Science and Intelligent System",2.236,1.064,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/5992808,AGUSTINUS PURNA IRAWAN,Universitas Tarumanagara,S3 - Ilmu Teknik Sipil,"Mechanical Engineering, Strength of Materials, Composites, Prosthesis, Product Design",5.952,1.533,5.952,1.533
https://sinta.kemdiktisaintek.go.id/authors/profile/6718791,BUDI PRASETYO,Universitas Airlangga,S1 - Kebidanan,"Obstetric dan GInekologi sosial, maternal health, malaria dałam kehamilan, fitofarmaka dałam kehamilan",2.237,986,2.237,986
https://sinta.kemdiktisaintek.go.id/authors/profile/6679873,MUHAMMAD RUSWANDI DJALAL,Politeknik Negeri Ujung Pandang,D4 - Teknik Pembangkit Energi,"Power System Dynamics and Stability, Renewable Energy, Metaheuristic Algorithm, Control System",3.143,1.262,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/79356,I WAYAN WIDIANA,Universitas Pendidikan Ganesha,S3 - Pendidikan Dasar,"Asesmen, Evaluasi, Pendidikan",2.899,907,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6007839,WIDOWATI,Universitas Diponegoro,S3 - Sains dan Matematika,"Mathematical Modeling, Control System: Theory & Appication",3.260,1.208,553.815.000,346.472.000
https://sinta.kemdiktisaintek.go.id/authors/profile/6169520,AKHMAD FAUZI,Institut Pertanian Bogor,S3 - Ilmu Perencanaan Pembangunan Wilayah Dan Pedesaan,"resource and environmental economics, fisheries economics, regional studies, sustainable development",3.911,923,111,42
https://sinta.kemdiktisaintek.go.id/authors/profile/35660,MADE ASTAWAN,Institut Pertanian Bogor,S3 - Ilmu Pangan,"Food, Nutrition and Health",6.873,1.450,6.873,1.450
https://sinta.kemdiktisaintek.go.id/authors/profile/5985149,HARUN JOKO PRAYITNO,Universitas Muhammadiyah Surakarta,S3 - Pendidikan Bahasa Indonesia,"Education, Progressive Learning, Character Education, Pragmatic, Social and Humanites",4.047,1.090,5.165,1.491
https://sinta.kemdiktisaintek.go.id/authors/profile/5980546,ARLI ADITYA PARIKESIT,Institut Bio Scientia Internasional Indonesia,S1 - Bio informatika,"Structural Bioinformatics, Transcriptomics and Proteomics, Bioalgorithm, Immunoinformatics",4.708,1.273,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/5977138,SRI RAHAYU,Universitas Negeri Malang,S3 - Pendidikan Kimia,"science education, chemistry education",3.785,1.257,3.785,1.257
https://sinta.kemdiktisaintek.go.id/authors/profile/5975641,I KETUT EDDY PURNAMA,Institut Teknologi Sepuluh Nopember,S1 - Teknik Komputer,"Medical Image Analysis, Microscopic Image Analysis, Computer Vision and Image Understanding",5.482,973,5.482,973
https://sinta.kemdiktisaintek.go.id/authors/profile/5993298,KUSWORO ADI,Universitas Diponegoro,S1 - Fisika,"Image processing, Computer Vission",3.890,1.027,277.410.000,95.792.500
https://sinta.kemdiktisaintek.go.id/authors/profile/6028320,JOHAN SUKWEENADHI,Universitas Surabaya,S2 - Bioteknologi,"plant microbe interaction, bacteria isolation, plant growth promoting bacteria, plant genetic engineering",3.835,948,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/5973800,TIRA NUR FITRIA,Institut Teknologi Bisnis AAS Indonesia,S1 - Ekonomi Syariah,"Pendidikan dan Sastra Inggris, Linguistik, Penerjemahan, Bahasa, Budaya",3.379,1.015,30,30
https://sinta.kemdiktisaintek.go.id/authors/profile/5976464,IMAN HARYMAWAN,Universitas Airlangga,S3 - Ilmu Akuntansi,"sustainability, accounting, corporate governance, auditing, responsible business",4.807,1.204,4.807,1.204
https://sinta.kemdiktisaintek.go.id/authors/profile/6750565,DEWI NASIEN,Institut Bisnis Dan Teknologi Pelita Indonesia,S1 - Teknik Informatika,"Soft Computing, Pattern Recognition, Image Processing, Machine Learning, Data Science",4.141,1.150,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6003701,YUSNITA RAHAYU,Universitas Riau,S1 - Teknik Elektro,"Antenna, Microwave Sensor, Radio, Mobile Communication, Radio Propagation",4.799,1.350,4.796,1.350
https://sinta.kemdiktisaintek.go.id/authors/profile/6091537,UBAIDILLAH,Universitas Sebelas Maret,Profesi - Profesi Insinyur,"Mechanical Design, Product Development, Magnetorheological Devices, Vehicle System",8.801,1.321,8.801,1.321
https://sinta.kemdiktisaintek.go.id/authors/profile/6045330,ABDUL ROHMAN,Universitas Diponegoro,S2 - Akuntansi,Public Sector Accounting,4.433,1.270,15.444.700,6.490.730
https://sinta.kemdiktisaintek.go.id/authors/profile/6107669,JOHANES FERNANDES ANDRY,Universitas Bunda Mulia,S1 - Sistem Informasi,Sistem Informasi & Audit,3.663,1.033,5.682,1.327
https://sinta.kemdiktisaintek.go.id/authors/profile/5987081,YOKI YULIZAR,Universitas Indonesia,S2 - Ilmu Kimia,"Interfacial Chemistry, Nanochemistry, Colloidal Chemistry, Separation Science",5.949,947,5.949,947
https://sinta.kemdiktisaintek.go.id/authors/profile/5982263,KARTINI,Universitas Surabaya,S1 - Farmasi,"Phytopharmaceutical, Phytopharmaceutical, Phytochemistry, Phytochemistry, Herbal Medicine, Herbal Medicine, Standardization, Immunomodulator, Standardization, Immunomodulator",2.585,923,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6091963,AGUS PURWOKO,Universitas Sumatera Utara,S2 - Perencanaan Pembangunan Wilayah Dan Pedesaan,"Forestry, Regional Planning",12.791,1.068,12.791,1.068
https://sinta.kemdiktisaintek.go.id/authors/profile/6198365,WASEHUDIN,Universitas Islam Negeri Sultan Maulana Hasanuddin Banten,S2 - Pendidikan Agama Islam,Manajemen Pendidikan Islam,1.933,957,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6028536,DEDI KUSWANDI,Universitas Negeri Malang,S3 - Teknologi Pembelajaran,"Resourcec Learning, Curriculum Development, Learning Model, Teacher Training, Program Development",3.509,981,3.509,981
https://sinta.kemdiktisaintek.go.id/authors/profile/257455,AH. YUSUF,Universitas Airlangga,S3 - Keperawatan,"Nursing, Nursing, Mental Health Nursing, Mental Health Nursing",5.558,1.249,5.558,1.249
https://sinta.kemdiktisaintek.go.id/authors/profile/6697665,HILAL HUDAN NUHA,Universitas Telkom,S1 - Teknologi Informasi,Network Modelling,4.672,1.553,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6043315,AMBIYAR,Universitas Negeri Padang,S3 - Pendidikan Teknologi dan Kejuruan,"Pendidikan Teknik Mesin, Evaluasi, TVET",6.523,1.297,6.523,1.297
https://sinta.kemdiktisaintek.go.id/authors/profile/5977141,CHOLIS SA'DIJAH,Universitas Negeri Malang,S3 - Pendidikan Matematika,"Mathematics Education, Assessment, Developmental Research",4.691,1.033,4.691,1.033
https://sinta.kemdiktisaintek.go.id/authors/profile/5999487,IKA LESTARI,Universitas Negeri Jakarta,S2 - Pendidikan Dasar,"Teknologi Pendidikan/ Pendidikan Guru Sekolah Dasa, Teknologi Pendidikan/ Pendidikan Guru Sekolah Dasa, Teknologi Pendidikan/ Pendidikan Guru Sekolah Dasa",2.790,1.189,2.790,1.189
https://sinta.kemdiktisaintek.go.id/authors/profile/5978471,SUDARMIN,Universitas Negeri Semarang,S2 - Pendidikan Kimia,"Science Education, Science Education, Chemistry Education, Chemistry Education",4.701,1.023,4.701,1.023
